,Name,pfast,pslow,Return,MaxDrawDown,TotalTrades#,WinTrades#,LossTrades#,WinRatio,AverageWin$,AverageLoss$,LongestWinStreak,LongestLossStreak,AverageWinLossRatio,RankReturn,RankMaxDrawDown,RankWinRatio,RankAverageWinLossRatio,Score
32,SMACross,5,42,-0.0195,33.8820,44.0000,14.0000,30.0000,0.3182,410.9569,-201.1787,4.0000,9.0000,2.0427,350,458,412,317,384.2500
33,SMACross,5,43,-0.0585,35.1129,43.0000,12.0000,31.0000,0.2791,466.9107,-202.2785,2.0000,9.0000,2.3083,407,496,582,170,413.7500
34,SMACross,5,44,-0.0312,31.5570,43.0000,12.0000,31.0000,0.2791,474.2927,-196.4373,2.0000,9.0000,2.4145,372,382,582,115,362.7500
35,SMACross,5,45,-0.0001,30.7196,41.0000,11.0000,30.0000,0.2683,520.8772,-193.9773,2.0000,10.0000,2.6852,323,358,610,45,334.0000
36,SMACross,5,46,-0.0201,33.2628,39.0000,11.0000,28.0000,0.2821,527.3244,-217.4487,2.0000,9.0000,2.4251,351,429,575,113,367.0000
37,SMACross,5,47,-0.0098,32.4165,38.0000,11.0000,27.0000,0.2895,523.6258,-220.2030,2.0000,8.0000,2.3779,338,404,557,129,357.0000
38,SMACross,5,48,-0.0324,33.7394,39.0000,11.0000,28.0000,0.2821,524.0979,-220.5163,2.0000,8.0000,2.3767,373,451,575,131,382.5000
39,SMACross,5,49,-0.0004,30.6479,37.0000,11.0000,26.0000,0.2973,499.9389,-215.0779,2.0000,6.0000,2.3245,324,355,527,160,341.5000
40,SMACross,5,50,0.0393,31.2975,36.0000,11.0000,25.0000,0.3056,498.8427,-207.4380,2.0000,6.0000,2.4048,244,375,475,119,303.2500
41,SMACross,6,10,-0.3311,43.2688,130.0000,40.0000,90.0000,0.3077,182.0692,-117.7085,2.0000,10.0000,1.5468,592,592,467,523,543.5000
42,SMACross,6,11,-0.2718,37.3807,123.0000,42.0000,81.0000,0.3415,169.9229,-119.4869,2.0000,6.0000,1.4221,574,549,301,548,493.0000
43,SMACross,6,12,-0.2592,34.9164,107.0000,37.0000,70.0000,0.3458,186.7178,-132.9999,3.0000,9.0000,1.4039,569,491,269,551,470.0000
44,SMACross,6,13,-0.2821,36.3699,97.0000,34.0000,63.0000,0.3505,205.2597,-152.6038,3.0000,11.0000,1.3450,577,532,254,559,480.5000
45,SMACross,6,14,-0.3317,41.1598,96.0000,30.0000,66.0000,0.3125,217.4128,-146.6270,4.0000,12.0000,1.4828,593,584,443,532,538.0000
46,SMACross,6,15,-0.3066,37.8235,89.0000,28.0000,61.0000,0.3146,250.2283,-162.3692,3.0000,9.0000,1.5411,584,558,438,524,526.0000
47,SMACross,6,16,-0.2572,40.7136,72.0000,25.0000,47.0000,0.3472,279.2912,-199.4632,3.0000,9.0000,1.4002,565,581,264,553,490.7500
48,SMACross,6,17,-0.2579,36.9399,74.0000,22.0000,52.0000,0.2973,301.7581,-173.5910,3.0000,10.0000,1.7383,566,542,527,448,520.7500
49,SMACross,6,18,-0.1800,34.4743,70.0000,23.0000,47.0000,0.3286,288.4732,-174.9384,3.0000,10.0000,1.6490,545,476,355,484,465.0000
50,SMACross,6,19,-0.1341,32.8197,66.0000,23.0000,43.0000,0.3485,276.6691,-174.2999,5.0000,7.0000,1.5873,492,416,261,503,418.0000
51,SMACross,6,20,0.0145,22.1866,61.0000,21.0000,40.0000,0.3443,308.0776,-151.9778,3.0000,6.0000,2.0271,284,155,276,327,260.5000
52,SMACross,6,21,0.0478,21.2859,57.0000,19.0000,38.0000,0.3333,341.0802,-150.8688,3.0000,8.0000,2.2608,222,136,318,198,218.5000
53,SMACross,6,22,0.0217,22.1687,54.0000,19.0000,35.0000,0.3519,319.8591,-159.8803,4.0000,8.0000,2.0006,265,154,246,336,250.2500
54,SMACross,6,23,0.0131,21.4441,54.0000,19.0000,35.0000,0.3519,320.7265,-162.8549,4.0000,8.0000,1.9694,286,140,246,353,256.2500
55,SMACross,6,24,0.0110,21.2100,54.0000,16.0000,38.0000,0.2963,371.4641,-147.0776,3.0000,10.0000,2.5256,291,135,533,83,260.5000
56,SMACross,6,25,-0.0714,29.1325,51.0000,17.0000,34.0000,0.3333,345.5645,-187.1634,3.0000,10.0000,1.8463,419,323,318,406,366.5000
57,SMACross,6,26,-0.0284,25.9440,48.0000,17.0000,31.0000,0.3542,337.6199,-198.3292,3.0000,6.0000,1.7023,365,239,237,463,326.0000
58,SMACross,6,27,0.0154,24.7302,48.0000,17.0000,31.0000,0.3542,353.2258,-191.6304,3.0000,6.0000,1.8433,282,208,237,410,284.2500
59,SMACross,6,28,-0.1198,35.1446,50.0000,18.0000,32.0000,0.3600,327.8028,-221.8412,3.0000,7.0000,1.4776,476,497,211,533,429.2500
60,SMACross,6,29,-0.0510,31.0011,48.0000,15.0000,33.0000,0.3125,407.9956,-203.4377,2.0000,6.0000,2.0055,398,366,443,333,385.0000
61,SMACross,6,30,0.0103,28.3328,47.0000,15.0000,32.0000,0.3191,396.8840,-185.6048,2.0000,6.0000,2.1383,293,298,408,260,314.7500
62,SMACross,6,31,0.0195,27.4270,48.0000,15.0000,33.0000,0.3125,395.6722,-176.6561,2.0000,6.0000,2.2398,270,276,443,212,300.2500
63,SMACross,6,32,0.0117,30.7716,49.0000,14.0000,35.0000,0.2857,429.4240,-170.9706,2.0000,6.0000,2.5117,289,363,563,85,325.0000
64,SMACross,6,33,-0.0072,31.8976,46.0000,14.0000,32.0000,0.3043,408.5493,-183.7339,2.0000,6.0000,2.2236,337,391,489,220,359.2500
65,SMACross,6,34,0.0475,28.3768,48.0000,15.0000,33.0000,0.3125,396.0210,-168.4320,2.0000,7.0000,2.3512,223,300,443,143,277.2500
66,SMACross,6,35,0.0445,29.8385,48.0000,15.0000,33.0000,0.3125,411.3503,-176.2735,2.0000,7.0000,2.3336,233,335,443,155,291.5000
67,SMACross,6,36,0.0420,27.1147,47.0000,14.0000,33.0000,0.2979,426.1594,-170.8625,3.0000,6.0000,2.4942,239,267,524,90,280.0000
68,SMACross,6,37,0.0458,26.9278,45.0000,15.0000,30.0000,0.3333,400.6413,-188.1311,3.0000,6.0000,2.1296,230,259,318,264,267.7500
69,SMACross,6,38,0.0459,27.6187,44.0000,14.0000,30.0000,0.3182,421.3045,-184.3799,3.0000,8.0000,2.2850,229,279,412,181,275.2500
70,SMACross,6,39,0.0332,27.8724,42.0000,13.0000,29.0000,0.3095,436.3339,-187.3090,3.0000,8.0000,2.3295,255,287,460,158,290.0000
71,SMACross,6,40,0.0183,29.9100,43.0000,13.0000,30.0000,0.3023,442.4661,-188.6405,3.0000,9.0000,2.3456,275,338,502,146,315.2500
72,SMACross,6,41,0.0236,30.7128,40.0000,13.0000,27.0000,0.3250,440.0091,-206.4759,3.0000,7.0000,2.1310,263,357,367,263,312.5000
73,SMACross,6,42,0.0055,31.0550,40.0000,12.0000,28.0000,0.3000,468.7741,-200.4931,2.0000,6.0000,2.3381,298,369,507,151,331.2500
74,SMACross,6,43,-0.0172,31.4694,39.0000,12.0000,27.0000,0.3077,463.6212,-214.0062,2.0000,7.0000,2.1664,346,380,467,251,361.0000
75,SMACross,6,44,-0.0335,32.9803,36.0000,11.0000,25.0000,0.3056,502.7767,-236.3157,2.0000,8.0000,2.1276,374,422,475,266,384.2500
76,SMACross,6,45,-0.0464,32.7405,36.0000,11.0000,25.0000,0.3056,503.4850,-241.7662,2.0000,7.0000,2.0825,391,413,475,293,393.0000
77,SMACross,6,46,-0.0446,32.6005,38.0000,11.0000,27.0000,0.2895,509.5223,-225.6491,2.0000,8.0000,2.2580,387,407,557,201,388.0000
78,SMACross,6,47,-0.0228,31.2914,35.0000,11.0000,24.0000,0.3143,517.6733,-248.5469,2.0000,7.0000,2.0828,355,374,439,292,365.0000
