id,price,qty,quoteQty,time,isBuyerMaker,isBestMatch
82035260,0.00204510,82.72000000,0.16917067,1595709071504,True,True
82035261,0.00204510,1.22000000,0.00249502,1595709071504,True,True
82035262,0.00204510,0.98000000,0.00200419,1595709071504,True,True
82035263,0.00204500,3.00000000,0.00613500,1595709071523,True,True
82035264,0.00204500,1.47000000,0.00300615,1595709071523,True,True
82035265,0.00204500,0.10000000,0.00020450,1595709071523,True,True
82035266,0.00204500,65.43000000,0.13380435,1595709071523,True,True
82035267,0.00204500,70.00000000,0.14315000,1595709071527,True,True
82035268,0.00204500,148.73000000,0.30415285,1595709071534,True,True
82035269,0.00204500,2.62000000,0.00535790,1595709071542,True,True
82035270,0.00204500,5.86000000,0.01198370,1595709071566,True,True
82035271,0.00204500,6.70000000,0.01370150,1595709071590,True,True
82035272,0.00204500,14.17000000,0.02897765,1595709071590,True,True
82035273,0.00204500,35.18000000,0.07194310,1595709071603,True,True
82035274,0.00204600,89.78000000,0.18368988,1595709072269,False,True
82035275,0.00204600,4.71000000,0.00963666,1595709072718,False,True
82035276,0.00204490,0.18000000,0.00036808,1595709073954,True,True
82035277,0.00204490,1.22000000,0.00249477,1595709073954,True,True
82035278,0.00204490,1.22000000,0.00249477,1595709073954,True,True
82035279,0.00204480,0.45000000,0.00092016,1595709073958,True,True
82035280,0.00204480,6.00000000,0.01226880,1595709073958,True,True
82035281,0.00204480,4.70000000,0.00961056,1595709073958,True,True
82035282,0.00204480,9.24000000,0.01889395,1595709073958,True,True
82035283,0.00204480,0.48000000,0.00098150,1595709073958,True,True
82035284,0.00204460,0.07000000,0.00014312,1595709073993,True,True
82035285,0.00204460,0.21000000,0.00042936,1595709073993,True,True
82035286,0.00204460,0.71000000,0.00145166,1595709073993,True,True
82035287,0.00204460,0.37000000,0.00075650,1595709073993,True,True
82035288,0.00204450,0.32000000,0.00065424,1595709073993,True,True
82035289,0.00204450,0.19000000,0.00038845,1595709074118,True,True
82035290,0.00204450,0.67000000,0.00136981,1595709074118,True,True
82035291,0.00204440,2.50000000,0.00511100,1595709074118,True,True
82035292,0.00204420,35.18000000,0.07191495,1595709074360,True,True
82035293,0.00204420,0.11000000,0.00022486,1595709074360,True,True
82035294,0.00204420,1.74000000,0.00355690,1595709074360,True,True
82035295,0.00204420,5.86000000,0.01197901,1595709074573,True,True
82035296,0.00204420,35.19000000,0.07193539,1595709074601,True,True
82035297,0.00204420,26.04000000,0.05323096,1595709076967,True,True
82035298,0.00204540,2.68000000,0.00548167,1595709077021,False,True
82035299,0.00204420,35.20000000,0.07195584,1595709077362,True,True
82035300,0.00204520,0.22000000,0.00044994,1595709077518,False,True
82035301,0.00204420,17.59000000,0.03595747,1595709077542,True,True
82035302,0.00204420,14.15000000,0.02892543,1595709079467,True,True
82035303,0.00204420,47.50000000,0.09709950,1595709079469,True,True
82035304,0.00204420,0.98000000,0.00200331,1595709079474,True,True
82035305,0.00204420,40.81000000,0.08342380,1595709079476,True,True
82035306,0.00204420,0.13000000,0.00026574,1595709079476,True,True
82035307,0.00204420,0.40000000,0.00081768,1595709079476,True,True
82035308,0.00204410,0.98000000,0.00200321,1595709079481,True,True
82035309,0.00204400,2.59000000,0.00529396,1595709079481,True,True
82035310,0.00204400,0.19000000,0.00038836,1595709079481,True,True
82035311,0.00204400,2.69000000,0.00549836,1595709079481,True,True
82035312,0.00204400,0.31000000,0.00063364,1595709079483,True,True
82035313,0.00204400,0.10000000,0.00020440,1595709079483,True,True
82035314,0.00204400,0.36000000,0.00073584,1595709079483,True,True
82035315,0.00204400,0.14000000,0.00028616,1595709079483,True,True
82035316,0.00204400,0.07000000,0.00014308,1595709079483,True,True
82035317,0.00204390,0.60000000,0.00122634,1595709079483,True,True
82035318,0.00204390,0.17000000,0.00034746,1595709079483,True,True
82035319,0.00204370,0.06000000,0.00012262,1595709079483,True,True
82035320,0.00204370,0.29000000,0.00059267,1595709079488,True,True
82035321,0.00204370,0.09000000,0.00018393,1595709079488,True,True
82035322,0.00204370,0.37000000,0.00075616,1595709079488,True,True
82035323,0.00204360,0.21000000,0.00042915,1595709079488,True,True
82035324,0.00204360,0.75000000,0.00153270,1595709079593,True,True
82035325,0.00204350,0.08000000,0.00016348,1595709079593,True,True
82035326,0.00204350,0.15000000,0.00030652,1595709079593,True,True
82035327,0.00204340,0.85000000,0.00173689,1595709079593,True,True
82035328,0.00204340,0.28000000,0.00057215,1595709079593,True,True
82035329,0.00204330,0.41000000,0.00083775,1595709079593,True,True
82035330,0.00204320,0.76000000,0.00155283,1595709079593,True,True
82035331,0.00204320,0.07000000,0.00014302,1595709079593,True,True
82035332,0.00204320,0.10000000,0.00020432,1595709079593,True,True
82035333,0.00204320,0.50000000,0.00102160,1595709079593,True,True
82035334,0.00204320,0.08000000,0.00016345,1595709079593,True,True
82035335,0.00204320,0.17000000,0.00034734,1595709079593,True,True
82035336,0.00204320,0.14000000,0.00028604,1595709079593,True,True
82035337,0.00204320,0.65000000,0.00132808,1595709079593,True,True
82035338,0.00204320,1.88000000,0.00384121,1595709079593,True,True
82035339,0.00204320,40.63000000,0.08301521,1595709079593,True,True
82035340,0.00204320,47.73000000,0.09752193,1595709079606,True,True
82035341,0.00204320,8.24000000,0.01683596,1595709079613,True,True
82035342,0.00204460,22.16000000,0.04530833,1595709079683,False,True
82035343,0.00204320,22.15000000,0.04525688,1595709079699,True,True
82035344,0.00204460,12.08000000,0.02469876,1595709079758,False,True
82035345,0.00204460,10.04000000,0.02052778,1595709079758,False,True
82035346,0.00204370,0.98000000,0.00200282,1595709079993,True,True
82035347,0.00204310,1.00000000,0.00204310,1595709079993,True,True
82035348,0.00204310,0.13000000,0.00026560,1595709079993,True,True
82035349,0.00204310,0.13000000,0.00026560,1595709079993,True,True
82035350,0.00204310,6.68000000,0.01364790,1595709079993,True,True
82035351,0.00204310,0.25000000,0.00051077,1595709079993,True,True
82035352,0.00204310,0.05000000,0.00010215,1595709079993,True,True
82035353,0.00204300,3.00000000,0.00612900,1595709079993,True,True
82035354,0.00204290,0.13000000,0.00026557,1595709079993,True,True
82035355,0.00204290,0.06000000,0.00012257,1595709079993,True,True
82035356,0.00204290,2.88000000,0.00588355,1595709079993,True,True
82035357,0.00204290,0.89000000,0.00181818,1595709079993,True,True
82035358,0.00204280,0.32000000,0.00065369,1595709079993,True,True
82035359,0.00204280,1.00000000,0.00204280,1595709079993,True,True
82035360,0.00204280,0.22000000,0.00044941,1595709079993,True,True
82035361,0.00204280,0.17000000,0.00034727,1595709079993,True,True
82035362,0.00204270,1.18000000,0.00241038,1595709079993,True,True
82035363,0.00204270,0.06000000,0.00012256,1595709079993,True,True
82035364,0.00204260,0.09000000,0.00018383,1595709079993,True,True
82035365,0.00204260,5.36000000,0.01094833,1595709079993,True,True
82035366,0.00204250,2.56000000,0.00522880,1595709079993,True,True
82035367,0.00204250,0.06000000,0.00012255,1595709079993,True,True
82035368,0.00204240,0.09000000,0.00018381,1595709079993,True,True
82035369,0.00204240,5.45000000,0.01113108,1595709079993,True,True
82035370,0.00204230,0.45000000,0.00091903,1595709079993,True,True
82035371,0.00204230,6.30000000,0.01286649,1595709079993,True,True
82035372,0.00204230,0.93000000,0.00189933,1595709079993,True,True
82035373,0.00204220,0.20000000,0.00040844,1595709079993,True,True
82035374,0.00204220,0.31000000,0.00063308,1595709079993,True,True
82035375,0.00204220,0.24000000,0.00049012,1595709079993,True,True
82035376,0.00204210,0.07000000,0.00014294,1595709079993,True,True
82035377,0.00204210,31.00000000,0.06330510,1595709079993,True,True
82035378,0.00204210,4.10000000,0.00837261,1595709079993,True,True
82035379,0.00204370,0.98000000,0.00200282,1595709080315,True,True
82035380,0.00204330,0.98000000,0.00200243,1595709080897,True,True
82035381,0.00204380,1.17000000,0.00239124,1595709081343,False,True
82035382,0.00204360,0.98000000,0.00200272,1595709081900,False,True
82035383,0.00204360,0.82000000,0.00167575,1595709082342,False,True
82035384,0.00204300,87.35000000,0.17845605,1595709082604,True,True
82035385,0.00204350,0.15000000,0.00030652,1595709083340,False,True
82035386,0.00204290,0.97000000,0.00198161,1595709083629,True,True
82035387,0.00204280,4.07000000,0.00831419,1595709083629,True,True
82035388,0.00204350,0.97000000,0.00198219,1595709084305,False,True
82035389,0.00204340,133.98000000,0.27377473,1595709084414,False,True
82035390,0.00204340,0.01000000,0.00002043,1595709084414,False,True
82035391,0.00204350,54.94000000,0.11226989,1595709086498,False,True
82035392,0.00204360,50.00000000,0.10218000,1595709086897,False,True
82035393,0.00204370,2.94000000,0.00600847,1595709086906,False,True
82035394,0.00204370,0.47000000,0.00096053,1595709086906,False,True
82035395,0.00204390,46.79000000,0.09563408,1595709086906,False,True
82035396,0.00204390,1.46000000,0.00298409,1595709086906,False,True
82035397,0.00204450,54.90000000,0.11224305,1595709089197,False,True
82035398,0.00204350,18.69000000,0.03819301,1595709091487,True,True
82035399,0.00204470,107.66000000,0.22013240,1595709092692,False,True
82035400,0.00204360,124.70000000,0.25483692,1595709099346,False,True
82035401,0.00204370,0.59000000,0.00120578,1595709099398,False,True
82035402,0.00204310,0.74000000,0.00151189,1595709103536,True,True
82035403,0.00204370,6.35000000,0.01297749,1595709104366,False,True
82035404,0.00204390,0.54000000,0.00110370,1595709104366,False,True
82035405,0.00204390,93.11000000,0.19030752,1595709104366,False,True
82035406,0.00204390,53.29000000,0.10891943,1595709104403,False,True
82035407,0.00204400,47.05000000,0.09617020,1595709104403,False,True
82035408,0.00204410,10.01000000,0.02046144,1595709104424,False,True
82035409,0.00204410,0.98000000,0.00200321,1595709104518,False,True
82035410,0.00204410,36.92000000,0.07546817,1595709104603,False,True
82035411,0.00204450,1.33000000,0.00271918,1595709105267,False,True
82035412,0.00204460,3.36000000,0.00686985,1595709105267,False,True
82035413,0.00204540,0.57000000,0.00116587,1595709105267,False,True
82035414,0.00204520,14.70000000,0.03006444,1595709107797,False,True
82035415,0.00204520,106.40000000,0.21760928,1595709107812,False,True
82035416,0.00204520,12.39000000,0.02534002,1595709107823,True,True
82035417,0.00204520,2.31000000,0.00472441,1595709107909,True,True
82035418,0.00204530,1.00000000,0.00204530,1595709108971,False,True
82035419,0.00204530,0.05000000,0.00010226,1595709110566,False,True
82035420,0.00204530,11.44000000,0.02339823,1595709125421,False,True
82035421,0.00204500,1.58000000,0.00323110,1595709125763,True,True
82035422,0.00204540,0.05000000,0.00010227,1595709126865,False,True
82035423,0.00204620,1.95000000,0.00399009,1595709128239,False,True
82035424,0.00204660,8.02000000,0.01641373,1595709128239,False,True
82035425,0.00204670,0.05000000,0.00010233,1595709130103,False,True
82035426,0.00204670,2.00000000,0.00409340,1595709131811,False,True
82035427,0.00204660,102.46000000,0.20969463,1595709132654,False,True
82035428,0.00204680,2.16000000,0.00442108,1595709136739,False,True
82035429,0.00204680,0.99000000,0.00202633,1595709136739,False,True
