lastUpdateId,bids,asks
742689643,"['0.00186960', '8.22000000']","['0.00189110', '14.58000000']"
742689643,"['0.00186950', '1.13000000']","['0.00189120', '4.24000000']"
742689643,"['0.00186940', '4.97000000']","['0.00189130', '0.74000000']"
742689643,"['0.00186930', '8.22000000']","['0.00189140', '9.18000000']"
742689643,"['0.00186920', '34.65000000']","['0.00189150', '0.74000000']"
742689643,"['0.00186910', '2.98000000']","['0.00189160', '1.55000000']"
742689643,"['0.00186900', '8.09000000']","['0.00189170', '16.42000000']"
742689643,"['0.00186890', '1.16000000']","['0.00189180', '13.05000000']"
742689643,"['0.00186870', '3.41000000']","['0.00189190', '282.79000000']"
742689643,"['0.00186860', '1.30000000']","['0.00189200', '7.22000000']"
742689643,"['0.00186850', '7.48000000']","['0.00189210', '0.74000000']"
742689643,"['0.00186840', '2.86000000']","['0.00189220', '12.78000000']"
