Aggregated trade id,Price,Quantity,First breakdown trade id,Last breakdown trade id,Trade time,Maker,Ignored
67395161,0.00188020,5.48000000,81761243,81761243,1595459768640,True,True
67395162,0.00188020,5.48000000,81761244,81761244,1595459768640,True,True
67395163,0.00188020,5.48000000,81761245,81761245,1595459768641,True,True
67395164,0.00188020,21.71000000,81761246,81761247,1595459768641,True,True
67395165,0.00188020,2.84000000,81761248,81761248,1595459768641,True,True
67395166,0.00188000,2.64000000,81761249,81761249,1595459768641,True,True
67395167,0.00188000,5.48000000,81761250,81761250,1595459768642,True,True
67395168,0.00188000,5.48000000,81761251,81761251,1595459768642,True,True
67395169,0.00188000,5.48000000,81761252,81761252,1595459768642,True,True
67395170,0.00188000,5.48000000,81761253,81761253,1595459768642,True,True
67395171,0.00188000,5.48000000,81761254,81761254,1595459768642,True,True
67395172,0.00188000,5.48000000,81761255,81761255,1595459768642,True,True
67395173,0.00188000,5.48000000,81761256,81761256,1595459768642,True,True
67395174,0.00188000,5.48000000,81761257,81761257,1595459768642,True,True
67395175,0.00188000,5.48000000,81761258,81761258,1595459768643,True,True
67395176,0.00188000,5.48000000,81761259,81761259,1595459768643,True,True
67395177,0.00188000,5.48000000,81761260,81761260,1595459768643,True,True
67395178,0.00188000,5.48000000,81761261,81761261,1595459768644,True,True
67395179,0.00188000,5.48000000,81761262,81761262,1595459768644,True,True
67395180,0.00188000,5.48000000,81761263,81761263,1595459768644,True,True
67395181,0.00188000,5.48000000,81761264,81761264,1595459768644,True,True
67395182,0.00188000,5.48000000,81761265,81761265,1595459768644,True,True
67395183,0.00188000,5.48000000,81761266,81761266,1595459768644,True,True
67395184,0.00188000,5.48000000,81761267,81761267,1595459768644,True,True
67395185,0.00188000,5.48000000,81761268,81761268,1595459768644,True,True
67395186,0.00188000,5.48000000,81761269,81761269,1595459768645,True,True
67395187,0.00188000,37.17000000,81761270,81761270,1595459768646,True,True
67395188,0.00187990,56.54000000,81761271,81761271,1595459768646,True,True
67395189,0.00187970,51.25000000,81761272,81761272,1595459768646,True,True
67395190,0.00187960,1.75000000,81761273,81761273,1595459768646,True,True
67395191,0.00187960,5.48000000,81761274,81761274,1595459768646,True,True
67395192,0.00187960,5.48000000,81761275,81761275,1595459768646,True,True
67395193,0.00187960,5.48000000,81761276,81761276,1595459768647,True,True
67395194,0.00187960,5.48000000,81761277,81761277,1595459768647,True,True
67395195,0.00187960,5.48000000,81761278,81761278,1595459768647,True,True
67395196,0.00187960,5.48000000,81761279,81761279,1595459768647,True,True
67395197,0.00187960,5.48000000,81761280,81761280,1595459768647,True,True
67395198,0.00187960,5.48000000,81761281,81761281,1595459768647,True,True
67395199,0.00187960,5.48000000,81761282,81761282,1595459768647,True,True
67395200,0.00187960,5.48000000,81761283,81761283,1595459768648,True,True
67395201,0.00187960,5.48000000,81761284,81761284,1595459768649,True,True
67395202,0.00188040,1.78000000,81761285,81761285,1595459768654,True,True
67395203,0.00187960,0.06000000,81761286,81761286,1595459768654,True,True
67395204,0.00188080,18.19000000,81761287,81761287,1595459768740,False,True
67395205,0.00188090,5.40000000,81761288,81761288,1595459768740,False,True
67395206,0.00188100,2.53000000,81761289,81761290,1595459768740,False,True
67395207,0.00188140,3.01000000,81761291,81761291,1595459768740,False,True
67395208,0.00188050,0.21000000,81761292,81761292,1595459769039,False,True
67395209,0.00187970,1.73000000,81761293,81761293,1595459771596,True,True
67395210,0.00187960,4.59000000,81761294,81761294,1595459771596,True,True
67395211,0.00187980,1.01000000,81761295,81761295,1595459772533,False,True
67395212,0.00187980,0.53000000,81761296,81761296,1595459775080,False,True
67395213,0.00188000,1.77000000,81761297,81761297,1595459775276,False,True
67395214,0.00188170,1.91000000,81761298,81761300,1595459790571,False,True
67395215,0.00188160,0.12000000,81761301,81761301,1595459790660,False,True
67395216,0.00188160,2.03000000,81761302,81761302,1595459790887,False,True
67395217,0.00188170,0.97000000,81761303,81761303,1595459790887,False,True
67395218,0.00188170,1.77000000,81761304,81761304,1595459794175,False,True
67395219,0.00188190,1.00000000,81761305,81761305,1595459795558,False,True
67395220,0.00188230,2.29000000,81761306,81761306,1595459795558,False,True
67395221,0.00188250,0.24000000,81761307,81761307,1595459795558,False,True
67395222,0.00188270,0.30000000,81761308,81761308,1595459795558,False,True
67395223,0.00188280,0.56000000,81761309,81761311,1595459795558,False,True
67395224,0.00188300,3.00000000,81761312,81761312,1595459795558,False,True
67395225,0.00188310,7.65000000,81761313,81761313,1595459795558,False,True
67395226,0.00188250,15.02000000,81761314,81761314,1595459797557,False,True
67395227,0.00188230,0.86000000,81761315,81761315,1595459798557,False,True
67395228,0.00188250,11.73000000,81761316,81761316,1595459798557,False,True
67395229,0.00188260,2.37000000,81761317,81761317,1595459798557,False,True
67395230,0.00188300,0.06000000,81761318,81761318,1595459798557,False,True
67395231,0.00188200,3.17000000,81761319,81761319,1595459800078,True,True
67395232,0.00188190,1.61000000,81761320,81761320,1595459800078,True,True
67395233,0.00188060,3.87000000,81761321,81761321,1595459800078,True,True
67395234,0.00188060,18.99000000,81761322,81761322,1595459800078,True,True
67395235,0.00188050,11.81000000,81761323,81761323,1595459800078,True,True
67395236,0.00188170,0.18000000,81761324,81761324,1595459800543,False,True
67395237,0.00188170,0.25000000,81761325,81761325,1595459800626,False,True
67395238,0.00188170,0.47000000,81761326,81761326,1595459800735,False,True
67395239,0.00188170,1.34000000,81761327,81761327,1595459800915,False,True
67395240,0.00188170,0.80000000,81761328,81761328,1595459801037,False,True
67395241,0.00188170,0.13000000,81761329,81761329,1595459801101,False,True
67395242,0.00188200,0.87000000,81761330,81761330,1595459801101,False,True
67395243,0.00188250,0.06000000,81761331,81761331,1595459802030,False,True
67395244,0.00188250,0.06000000,81761332,81761332,1595459802115,False,True
67395245,0.00188230,0.21000000,81761333,81761333,1595459802955,True,True
67395246,0.00188270,0.19000000,81761334,81761334,1595459803663,False,True
67395247,0.00188270,0.44000000,81761335,81761335,1595459803774,False,True
67395248,0.00188270,0.17000000,81761336,81761336,1595459803872,False,True
67395249,0.00188200,2.06000000,81761337,81761337,1595459806957,True,True
67395250,0.00188190,2.30000000,81761338,81761338,1595459806957,True,True
67395251,0.00188100,1.60000000,81761339,81761339,1595459806957,True,True
67395252,0.00188190,2.25000000,81761340,81761340,1595459807035,True,True
67395253,0.00188210,0.12000000,81761341,81761341,1595459807094,False,True
67395254,0.00188150,2.39000000,81761342,81761342,1595459807126,True,True
67395255,0.00188100,25.39000000,81761343,81761343,1595459807126,True,True
67395256,0.00188200,5.79000000,81761344,81761344,1595459807186,False,True
67395257,0.00188150,0.12000000,81761345,81761345,1595459807415,False,True
67395258,0.00188060,1.97000000,81761346,81761346,1595459807516,True,True
67395259,0.00188040,2.17000000,81761347,81761347,1595459807516,True,True
67395260,0.00188030,48.48000000,81761348,81761348,1595459807516,True,True
67395261,0.00188000,23.31000000,81761349,81761349,1595459807516,True,True
67395262,0.00188080,4.61000000,81761350,81761350,1595459807821,False,True
67395263,0.00188020,0.12000000,81761351,81761351,1595459808045,False,True
67395264,0.00187990,1.70000000,81761352,81761352,1595459808332,False,True
67395265,0.00188120,1.70000000,81761353,81761353,1595459808352,False,True
67395266,0.00188130,20.01000000,81761354,81761355,1595459809238,False,True
67395267,0.00188130,1.50000000,81761356,81761356,1595459809552,False,True
67395268,0.00188120,0.25000000,81761357,81761357,1595459812319,False,True
67395269,0.00188100,1.66000000,81761358,81761358,1595459812871,False,True
67395270,0.00188090,2.84000000,81761359,81761359,1595459814757,False,True
67395271,0.00188090,2.00000000,81761360,81761360,1595459815716,False,True
67395272,0.00188180,1.76000000,81761361,81761361,1595459816762,False,True
67395273,0.00188190,1.06000000,81761362,81761362,1595459816762,False,True
67395274,0.00188200,2.01000000,81761363,81761363,1595459817757,False,True
67395275,0.00188220,0.81000000,81761364,81761364,1595459817757,False,True
67395276,0.00188220,0.53000000,81761365,81761365,1595459818511,False,True
67395277,0.00188210,0.06000000,81761366,81761366,1595459819336,False,True
67395278,0.00188220,1.02000000,81761367,81761368,1595459820700,False,True
67395279,0.00188180,3.07000000,81761369,81761369,1595459824066,True,True
67395280,0.00188170,1.70000000,81761370,81761370,1595459824066,True,True
67395281,0.00188060,12.40000000,81761371,81761371,1595459824066,True,True
67395282,0.00188220,3.00000000,81761372,81761372,1595459827354,False,True
67395283,0.00188200,2.27000000,81761373,81761373,1595459831456,True,True
67395284,0.00188050,2.63000000,81761374,81761374,1595459831456,True,True
67395285,0.00188040,0.68000000,81761375,81761375,1595459831456,True,True
67395286,0.00188220,4.52000000,81761376,81761376,1595459831469,False,True
67395287,0.00188220,9.71000000,81761377,81761377,1595459832371,False,True
67395288,0.00188200,2.42000000,81761378,81761378,1595459832555,True,True
67395289,0.00188230,5.48000000,81761379,81761379,1595459838179,True,True
67395290,0.00188220,15.73000000,81761380,81761380,1595459838179,True,True
67395291,0.00188290,0.65000000,81761381,81761381,1595459848835,False,True
67395292,0.00188280,2.35000000,81761382,81761382,1595459849144,True,True
67395293,0.00188270,5.68000000,81761383,81761384,1595459852955,True,True
67395294,0.00188220,8.26000000,81761385,81761386,1595459853164,True,True
67395295,0.00188190,5.57000000,81761387,81761387,1595459854258,True,True
67395296,0.00188180,13.43000000,81761388,81761389,1595459854258,True,True
67395297,0.00188210,2.27000000,81761390,81761390,1595459854744,False,True
67395298,0.00188270,0.77000000,81761391,81761391,1595459854744,False,True
67395299,0.00188280,7.56000000,81761392,81761392,1595459854744,False,True
67395300,0.00188190,5.41000000,81761393,81761393,1595459854993,True,True
67395301,0.00188180,31.22000000,81761394,81761394,1595459854993,True,True
67395302,0.00188180,5.41000000,81761395,81761395,1595459855002,True,True
67395303,0.00188120,5.39000000,81761396,81761396,1595459855662,True,True
67395304,0.00188110,1.74000000,81761397,81761397,1595459856073,False,True
67395305,0.00188150,18.19000000,81761398,81761398,1595459857960,False,True
67395306,0.00188110,5.35000000,81761399,81761399,1595459867672,False,True
67395307,0.00188190,2.37000000,81761400,81761400,1595459868713,False,True
67395308,0.00188220,0.63000000,81761401,81761401,1595459868713,False,True
67395309,0.00188200,1.00000000,81761402,81761402,1595459870874,True,True
67395310,0.00188180,2.36000000,81761403,81761403,1595459870874,True,True
67395311,0.00188150,2.16000000,81761404,81761404,1595459870874,True,True
67395312,0.00188110,51.33000000,81761405,81761405,1595459870874,True,True
67395313,0.00188170,0.35000000,81761406,81761406,1595459871464,False,True
67395314,0.00188120,2.05000000,81761407,81761407,1595459873747,False,True
67395315,0.00188200,5.95000000,81761408,81761408,1595459873747,False,True
67395316,0.00188200,0.23000000,81761409,81761409,1595459873756,False,True
67395317,0.00188030,1.08000000,81761410,81761410,1595459873763,True,True
67395318,0.00188080,0.34000000,81761411,81761411,1595459874719,False,True
67395319,0.00188000,0.67000000,81761412,81761412,1595459877076,False,True
67395320,0.00188030,2.84000000,81761413,81761413,1595459879920,False,True
67395321,0.00188010,0.18000000,81761414,81761414,1595459880900,False,True
67395322,0.00188020,57.25000000,81761415,81761415,1595459881174,False,True
67395323,0.00188040,2.11000000,81761416,81761416,1595459881186,False,True
67395324,0.00188120,9.72000000,81761417,81761417,1595459884983,True,True
67395325,0.00188080,1.57000000,81761418,81761418,1595459889885,True,True
67395326,0.00187960,4.81000000,81761419,81761419,1595459889885,True,True
67395327,0.00188090,0.28000000,81761420,81761420,1595459891131,False,True
67395328,0.00188090,0.53000000,81761421,81761421,1595459891186,False,True
67395329,0.00188040,2.34000000,81761422,81761422,1595459891881,True,True
67395330,0.00187960,4.04000000,81761423,81761423,1595459891881,True,True
67395331,0.00188000,1.68000000,81761424,81761424,1595459892880,True,True
67395332,0.00187970,4.70000000,81761425,81761425,1595459892880,True,True
67395333,0.00188050,2.20000000,81761426,81761426,1595459892974,False,True
67395334,0.00188080,4.31000000,81761427,81761427,1595459892974,False,True
67395335,0.00188090,4.54000000,81761428,81761428,1595459892974,False,True
67395336,0.00188160,15.96000000,81761429,81761429,1595459892974,False,True
